cwe_id,name,score,search_source
94,Improper Control of Generation of Code ('Code Injection'),233.7382884582073,base_query
138,Improper Neutralization of Special Elements,231.52336340062791,base_query
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),230.6498008651272,base_query
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),229.1908581570235,base_query
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),228.17623212348968,base_query
95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),227.8851200276928,base_query
502,Deserialization of Untrusted Data,227.41156430201357,base_query
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),227.15239442340146,base_query
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),227.01797536646177,base_query
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),225.01305097534686,base_query
